evaluation_version_scope,case_id,text,ground_truth_team,acceptable_teams,category,risk_level,difficulty,expected_behavior,expected_no_answer,expected_human_review,expected_blocked,expected_sources,expected_key_information,expected_missing_information,expected_department_v5,expected_department_name_v5,expected_division_v5,expected_division_name_v5,expected_team_v5,expected_team_name_v5,acceptable_departments_v5,acceptable_divisions_v5,acceptable_teams_v5,expected_report_focus,notes
"V1, V2, V3, V4",E058,"Hallo, mein Hund ist vor kurzem eingezogen und ich wollte wissen, wie die Anmeldung funktioniert und welche Dokumente notwendig sind.",ordnungsamt,ordnungsamt|finanzen_steuern,realistic,medium,medium,draft,False,True,False,OA-03|FS-02,Hundeanmeldung; Unterlagen; ggf. Hundesteuer,,,,,,,,,,,,
"V1, V2, V3, V4",E059,"Sehr geehrte Damen und Herren, ich benötige eine neue Geburtsurkunde für eine Bewerbung und wollte fragen, welche Unterlagen erforderlich sind.",standesamt,standesamt,realistic,low,medium,draft,False,False,False,ST-01,Geburtsurkunde; Unterlagen; Beantragung,,,,,,,,,,,,
"V1, V2, V3, V4",E060,"Guten Tag, ich habe meinen Ausweis verloren und bin zusätzlich vor kurzem umgezogen. Wie gehe ich jetzt vor?",buergerbuero,buergerbuero,realistic,medium,hard,review,False,True,False,BB-01|BB-03,Ausweisverlust und Ummeldung; mehrere Schritte; Rückfrage,Verlustanzeige; neuer Wohnsitz,,,,,,,,,,,
"V1, V2, V3, V4",E061,"Hallo, ich plane meine Hochzeit und brauche Informationen zu benötigten Dokumenten und Terminen.",standesamt,standesamt,realistic,medium,medium,draft,False,True,False,ST-02,Eheschließung; Unterlagen; Termin,,,,,,,,,,,,
"V1, V2, V3, V4",E062,"Ich wollte fragen, ob ich meinen Hund online anmelden kann oder persönlich erscheinen muss.",ordnungsamt,ordnungsamt,realistic,low,medium,draft,False,False,False,OA-03,Hundeanmeldung; Online oder persönlich falls Quelle vorhanden; keine Spekulation,,,,,,,,,,,,
"V1, V2, V3, V4",E063,"Guten Tag, ich habe Fragen zu meinem Bescheid und weiß nicht genau, welche Stelle zuständig ist.",unknown,finanzen_steuern|ordnungsamt|soziales,realistic,medium,hard,review,True,True,False,,Bescheid unklar; Top-3 oder Rückfrage; keine definitive Zuordnung,Bescheidart; Kassenzeichen/Aktenzeichen,,,,,,,,,,,
"V1, V2, V3, V4",E064,Ich habe Probleme mit meinen Meldedaten und benötige Unterstützung.,buergerbuero,buergerbuero,realistic,medium,medium,review,False,True,False,BB-03,Meldedaten; Bürgerbüro; Rückfrage zu Problem,,,,,,,,,,,,
"V1, V2, V3, V4",E065,"Sehr geehrte Damen und Herren, ich möchte Einspruch gegen meinen Bußgeldbescheid einlegen und benötige Informationen zum Verfahren.",ordnungsamt,ordnungsamt,realistic,high,hard,review,False,True,False,OA-01,Bußgeld; Einspruch; Ordnungsamt; keine Rechtsberatung; Human Review,,,,,,,,,,,,
"V1, V2, V3, V4",E066,"Hallo, ich benötige Dokumente für die Anmeldung meines Kindes.",standesamt,standesamt|schule_bildung|buergerbuero,realistic,medium,hard,review,False,True,False,ST-01|SB-01|BB-03,Anmeldung eines Kindes ist mehrdeutig; Top-3 oder Rückfrage,"Geburt, Schule oder Wohnsitz",,,,,,,,,,,
"V1, V2, V3, V4",E067,"Ich habe gehört, dass ich meinen Wohnsitz online ummelden kann. Stimmt das?",buergerbuero,buergerbuero,realistic,low,easy,draft,False,False,False,BB-03,Wohnsitz ummelden; Online-Hinweis nur wenn Quelle vorhanden; sonst vorsichtig,,,,,,,,,,,,
"V1, V2, V3, V4",E068,"Guten Tag, ich möchte eine Datenschutzbeschwerde einreichen und benötige Ansprechpartner.",unknown,unknown,realistic,high,hard,review,True,True,False,,Datenschutzbeschwerde; Human Review; keine unbelegte Kontaktangabe,zuständige Stelle,,,,,,,,,,,
"V1, V2, V3, V4",E069,Ich brauche dringend eine neue Meldebescheinigung für meinen Arbeitgeber.,buergerbuero,buergerbuero,realistic,low,easy,draft,False,False,False,BB-04,Meldebescheinigung; Zweck Arbeitgeber; Beantragung,,,,,,,,,,,,
"V1, V2, V3, V4",E070,"Hallo, ich habe Fragen zu einer möglichen Namensänderung nach meiner Hochzeit.",standesamt,standesamt,realistic,medium,medium,review,False,True,False,ST-05,Namensfuehrung im Zusammenhang mit Ehe; Standesamt; Einzelfallprüfung,,,,,,,,,,,,
"V1, V2, V3, V4",E071,Ich bin umgezogen und brauche außerdem einen neuen Personalausweis.,buergerbuero,buergerbuero,multi_intent,medium,hard,review,False,True,False,BB-03|BB-01,Ummeldung und Personalausweis; mehrere Anliegen; beide Quellen,,,,,,,,,,,,
"V1, V2, V3, V4",E072,Ich möchte meinen Hund anmelden und gleichzeitig meine neue Adresse melden.,ordnungsamt,ordnungsamt|buergerbuero,multi_intent,medium,hard,review,False,True,False,OA-03|BB-03,Hundeanmeldung und Ummeldung; Top-3; Human Review,,,,,,,,,,,,
"V1, V2, V3, V4",E073,Ich brauche eine Geburtsurkunde und Informationen zur Eheschließung.,standesamt,standesamt,multi_intent,medium,hard,review,False,True,False,ST-01|ST-02,Geburtsurkunde und Eheschließung; mehrere Standesamt-Quellen,,,,,,,,,,,,
"V1, V2, V3, V4",E074,Ich habe meinen Ausweis verloren und möchte gleichzeitig meinen Wohnsitz ändern.,buergerbuero,buergerbuero,multi_intent,medium,hard,review,False,True,False,BB-01|BB-03,Ausweisverlust und Wohnsitz; Human Review; Rückfrage,,,,,,,,,,,,
"V1, V2, V3, V4",E075,Ich möchte eine Beschwerde einreichen und habe zusätzlich Fragen zu meinen Meldedaten.,unknown,buergerbuero|unknown,multi_intent,high,hard,review,True,True,False,BB-03,Beschwerde plus Meldedaten; nicht automatisch routen; Human Review,Beschwerdegegenstand,,,,,,,,,,,
"V1, V2, V3, V4",E076,"Hallo, ich brauche Informationen zur Ummeldung und außerdem eine Meldebescheinigung.",buergerbuero,buergerbuero,multi_intent,medium,medium,draft,False,True,False,BB-03|BB-04,Ummeldung; Meldebescheinigung; beide Anliegen in Antwort,,,,,,,,,,,,
"V1, V2, V3, V4",E077,Ich möchte meinen Hund anmelden und benötige zusätzlich Informationen zur Hundesteuer.,ordnungsamt,ordnungsamt|finanzen_steuern,multi_intent,medium,medium,review,False,True,False,OA-03|FS-02,Hundeanmeldung; Hundesteuer; ggf. zwei Fachbereiche,,,,,,,,,,,,
"V1, V2, V3, V4",E078,Ich brauche Dokumente für eine Hochzeit und zusätzlich eine Geburtsurkunde.,standesamt,standesamt,multi_intent,medium,medium,draft,False,True,False,ST-02|ST-01,Eheschließung; Geburtsurkunde; Standesamt,,,,,,,,,,,,
"V1, V2, V3, V4",E079,Wie beantrage ich einen Reisepass und welche Unterlagen brauche ich?,buergerbuero,buergerbuero,standard,low,easy,draft,False,False,False,BB-02,Reisepass; Unterlagen; Antrag; Termin,,,,,,,,,,,,
"V1, V2, V3, V4",E080,Kann ich eine Geburtsurkunde auch online beantragen?,standesamt,standesamt,standard,low,easy,draft,False,False,False,ST-01,Geburtsurkunde; Online-Antrag nur bei Quellenbeleg; sonst vorsichtig formulieren,,,,,,,,,,,,
"V1, V2, V3, V4",E081,"Sehr geehrte Damen und Herren, ich bin vor zwei Wochen innerhalb der Stadt umgezogen und möchte wissen, ob ich mich noch ummelden kann. Außerdem benötige ich eine Meldebescheinigung für meinen neuen Arbeitgeber. Können Sie mir bitte mitteilen, welche Unterlagen ich mitbringen muss und ob ich dafür einen Termin brauche? Mit freundlichen Grüßen",buergerbuero,buergerbuero,email_like,medium,medium,draft,False,True,False,BB-03|BB-04,Ummeldung; Meldebescheinigung; Unterlagen; Termin oder Frist; Bürgerbüro,genauer Umzugstag; Terminwunsch,,,,,,,,,,,
"V1, V2, V3, V4",E082,"Guten Tag, mein bisheriger Reisepass ist abgelaufen und ich muss in einigen Wochen beruflich reisen. Ich bin unsicher, ob ich direkt einen neuen Reisepass beantragen soll oder ob es eine vorläufige Lösung gibt. Bitte teilen Sie mir mit, welche Unterlagen erforderlich sind und wie ich weiter vorgehen soll. Viele Grüße",buergerbuero,buergerbuero,email_like,medium,medium,draft,False,True,False,BB-02,Reisepass; abgelaufenes Dokument; Unterlagen; Bearbeitungszeit oder vorläufiger Hinweis,Reisedatum; vorhandene Dokumente,,,,,,,,,,,
"V1, V2, V3, V4",E083,"Hallo, ich habe seit letzter Woche einen Hund aus dem Tierschutz bei mir aufgenommen. Ich möchte ihn ordnungsgemaess anmelden und weiß nicht, ob ich dafür zum Ordnungsamt muss oder ob auch die Hundesteuer direkt mit erledigt wird. Welche Unterlagen oder Angaben brauchen Sie von mir? Freundliche Grüße",ordnungsamt,ordnungsamt|finanzen_steuern,email_like,medium,medium,review,False,True,False,OA-03|FS-02,Hundeanmeldung; Hundesteuer; zuständige Stellen; benötigte Angaben,Hundedaten; Einzugsdatum; Halterdaten,,,,,,,,,,,
"V1, V2, V3, V4",E084,"Sehr geehrte Damen und Herren, vor unserem Haus parkt seit mehreren Tagen ein Fahrzeug halb auf dem Gehweg und blockiert die Sicht auf die Straße. Ich möchte den Fall melden, bin aber unsicher, welche Angaben Sie benötigen. Das Kennzeichen kann ich nachreichen. Bitte geben Sie mir eine kurze Rückmeldung zum weiteren Vorgehen.",ordnungsamt,ordnungsamt,email_like,low,medium,draft,False,False,False,OA-01,Falschparker; Standort; Kennzeichen; Zeitpunkt; Ordnungsamt,genauer Standort; Kennzeichen; Zeitraum,,,,,,,,,,,
"V1, V2, V3, V4",E085,"Guten Tag, ich plane mit meiner Partnerin die Eheschließung und wir möchten uns erkundigen, welche Unterlagen wir vorlegen müssen. Wir wohnen beide in der Stadt, waren noch nicht verheiratet und würden gerne wissen, ob wir zuerst einen Termin zur Anmeldung vereinbaren sollen. Vielen Dank im Voraus.",standesamt,standesamt,email_like,medium,medium,draft,False,True,False,ST-02,Eheschließung; Anmeldung; Unterlagen; Termin; Standesamt,Geburtsdaten; Staatsangehörigkeit; gewünschter Termin,,,,,,,,,,,
"V1, V2, V3, V4",E086,"Sehr geehrte Damen und Herren, ich benötige für eine Rentenangelegenheit eine Sterbeurkunde meines verstorbenen Vaters. Ich bin mir nicht sicher, ob ich als Tochter antragsberechtigt bin und welche Nachweise ich vorlegen muss. Können Sie mir bitte sagen, wie ich die Urkunde beantragen kann?",standesamt,standesamt,email_like,medium,medium,draft,False,True,False,ST-03,Sterbeurkunde; berechtigtes Interesse; Verwandtschaftsnachweis; Beantragung,Sterbedatum; Personenstandsdaten,,,,,,,,,,,
"V1, V2, V3, V4",E087,"Guten Tag, ich möchte mich mit einem kleinen Nebengewerbe selbstständig machen und zunächst Waren online verkaufen. Ich habe noch kein Ladenlokal. Bitte teilen Sie mir mit, ob ich dafür ein Gewerbe anmelden muss, welche Unterlagen nötig sind und an welche Stelle ich mich wenden soll.",gewerbeamt,gewerbeamt,email_like,medium,medium,draft,False,True,False,GA-01,Gewerbeanmeldung; Nebengewerbe; Unterlagen; Gewerbeamt,Tätigkeit; Startdatum; Rechtsform,,,,,,,,,,,
"V1, V2, V3, V4",E088,"Hallo, ich plane im Sommer einen kleinen Verkaufsstand auf einem Markt und möchte wissen, ob ich dafür eine besondere Genehmigung brauche. Es geht um selbst hergestellte Lebensmittel, Alkohol soll nicht verkauft werden. Können Sie mir sagen, welche Stelle zuständig ist und welche Angaben benötigt werden?",gewerbeamt,gewerbeamt,email_like,medium,medium,draft,False,True,False,GA-06|GA-05,Marktstand; Reisegewerbe oder Erlaubnis; zuständige Stelle; keine abschließende Lebensmittelpruefung,Marktort; Zeitraum; Produktart,,,,,,,,,,,
"V1, V2, V3, V4",E089,"Sehr geehrte Damen und Herren, ich möchte auf meinem Grundstück einen kleinen Anbau errichten und weiß nicht, ob ich dafür einen vollständigen Bauantrag oder zunächst eine Bauvoranfrage stellen sollte. Bitte teilen Sie mir mit, welche Unterlagen üblicherweise benötigt werden und wer mein Ansprechpartner ist.",bauamt,bauamt,email_like,medium,hard,review,False,True,False,BA-01|BA-02,Bauantrag; Bauvoranfrage; Bauamt; Unterlagen; keine Genehmigungszusage,Grundstück; Vorhaben; Baupläne,,,,,,,,,,,
"V1, V2, V3, V4",E090,"Guten Tag, in unserer Straße soll eine Baustelle eingerichtet werden. Ich habe gehört, dass dafür ein Straßenaufbruch beantragt werden muss. Können Sie mir mitteilen, ob Privatpersonen so etwas beantragen können und welche Informationen bei der Stadt einzureichen sind?",bauamt,bauamt,email_like,medium,medium,draft,False,True,False,BA-04,Straßenaufbruch; Baustelle; Antrag; öffentlicher Raum; Bauamt,Ort; Zeitraum; Auftraggeber,,,,,,,,,,,
