document_id,title,team_id,team_name,pdf,markdown,topics
SO-02,Grundsicherung und Sozialhilfe,soziales,Soziales,pdf/SO-02_Grundsicherung_Sozialhilfe.pdf,markdown/SO-02_Grundsicherung_Sozialhilfe.md,Grundsicherung; Sozialhilfe; Existenzsicherung
SO-03,Seniorenberatung und Teilhabeunterstützung,soziales,Soziales,pdf/SO-03_Seniorenberatung_Teilhabe.pdf,markdown/SO-03_Seniorenberatung_Teilhabe.md,Seniorenberatung; Teilhabe; Behinderung; Beratung
JF-01,Kitaplatz und Vormerkung,jugend_familie,Jugend und Familie,pdf/JF-01_Kitaplatz_Vormerkung.pdf,markdown/JF-01_Kitaplatz_Vormerkung.md,Kita; Kindergarten; Betreuungsplatz
JF-02,Elternbeiträge für Kinderbetreuung,jugend_familie,Jugend und Familie,pdf/JF-02_Elternbeitraege_Kinderbetreuung.pdf,markdown/JF-02_Elternbeitraege_Kinderbetreuung.md,Elternbeitrag; Kinderbetreuung; Kita-Gebühren
JF-03,Ferienbetreuung für Kinder,jugend_familie,Jugend und Familie,pdf/JF-03_Ferienbetreuung.pdf,markdown/JF-03_Ferienbetreuung.md,Ferienbetreuung; Kinderbetreuung; Ferienprogramm
SB-01,Einschulung und Schulbezirk,schule_bildung,Schule und Bildung,pdf/SB-01_Einschulung_Schulbezirk.pdf,markdown/SB-01_Einschulung_Schulbezirk.md,Einschulung; Schulbezirk; Grundschule
SB-02,Schülerbeförderung und Schulbus,schule_bildung,Schule und Bildung,pdf/SB-02_Schuelerbefoerderung.pdf,markdown/SB-02_Schuelerbefoerderung.md,Schülerbeförderung; Schulbus; Fahrkarte
SB-03,Mensa und Ganztagsbetreuung an Schulen,schule_bildung,Schule und Bildung,pdf/SB-03_Mensa_Ganztagsbetreuung.pdf,markdown/SB-03_Mensa_Ganztagsbetreuung.md,Mensa; Ganztag; Schule; Betreuung
UK-01,Baumschutz und Baumfällung,umwelt_klima,Umwelt und Klima,pdf/UK-01_Baumschutz_Baumfaellung.pdf,markdown/UK-01_Baumschutz_Baumfaellung.md,Baumschutz; Baumfällung; Grünfläche
UK-02,Umweltbeschwerden melden,umwelt_klima,Umwelt und Klima,pdf/UK-02_Umweltbeschwerden.pdf,markdown/UK-02_Umweltbeschwerden.md,Umweltbeschwerde; Gewässer; Geruch; Naturschutz
UK-03,Grünflächen und Spielplätze melden,umwelt_klima,Umwelt und Klima,pdf/UK-03_Gruenflaechen_Spielplaetze.pdf,markdown/UK-03_Gruenflaechen_Spielplaetze.md,Grünfläche; Spielplatz; Pflege; Sicherheit
FS-01,Grundsteuer und Grundbesitzabgaben,finanzen_steuern,Finanzen und Steuern,pdf/FS-01_Grundsteuer.pdf,markdown/FS-01_Grundsteuer.md,Grundsteuer; Abgaben; Kassenzeichen
FS-02,Hundesteuer und Steuerbescheid,finanzen_steuern,Finanzen und Steuern,pdf/FS-02_Hundesteuer.pdf,markdown/FS-02_Hundesteuer.md,Hundesteuer; Steuerbescheid; Hund
FS-03,"Gebührenbescheid, Mahnung und Zahlung",finanzen_steuern,Finanzen und Steuern,pdf/FS-03_Gebuehrenbescheid_Mahnung.pdf,markdown/FS-03_Gebuehrenbescheid_Mahnung.md,Gebührenbescheid; Mahnung; Zahlung; SEPA
AB-01,Sperrmüll und Abfallentsorgung,abfall_bauhof,Abfall und Bauhof,pdf/AB-01_Sperrmuell_Abfallentsorgung.pdf,markdown/AB-01_Sperrmuell_Abfallentsorgung.md,Sperrmüll; Abfall; Mülltonne; Abfuhr
AB-02,Illegale Müllablagerung melden,abfall_bauhof,Abfall und Bauhof,pdf/AB-02_Illegale_Muellablagerung.pdf,markdown/AB-02_Illegale_Muellablagerung.md,illegale Müllablagerung; wilder Müll; Mängelmeldung
AB-03,Winterdienst und Straßenreinigung,abfall_bauhof,Abfall und Bauhof,pdf/AB-03_Winterdienst_Strassenreinigung.pdf,markdown/AB-03_Winterdienst_Strassenreinigung.md,Winterdienst; Straßenreinigung; Räumen; Streuen
